Time,Value
8120,89.3
8125,71.3
8130,84.1
8135,84.1
8140,84.1
8145,83.8
8150,94.7
8155,94.7
8160,94.7
8165,66.6
8170,77.6
8175,86.1
8180,86.1
8185,71.7
8190,72.7
8195,100.5
8200,100.5
8205,100.5
8210,68.6
8215,74.7
8220,74.7
8225,64.2
8230,64.2
8235,59.2
8240,59.3
8245,79.8
8250,79.8
8255,83.3
8260,83.3
8265,60.4
8270,60.4
8275,60.4
8280,29.5
8285,29.5
8290,29.5
8295,27.2
8300,27.2
8305,43.1
8310,43.1
8315,27.8
8320,27.8
8325,27.8
8330,16.3
8335,16.3
8340,15.9
8345,15.9
8350,15.9
8355,15.4
8360,17
8365,33.9
8370,41.9
8375,41.9
8380,41.9
8385,24.1
8390,24.1
8395,16.7
8400,16.7
8405,16.2
8410,17.7
8415,17.7
8420,17.7
8425,17.3
8430,17.3
8435,16.1
8440,16.5
8445,16.5
8450,19.4
8455,19.4
8460,19.4
8465,32.9
8470,32.9
8475,32.9
8480,29.2
8485,29.2
8490,24.3
8495,42.5
8500,42.5
8505,42.5
8510,35.7
8515,35.7
8520,35.7
8525,46.4
8530,46.4
8535,46.4
8540,29.1
8545,29.1
8550,45
8555,45
8560,45
8565,40.7
8570,61.4
8575,61.4
8580,38.8
8585,47.9
8590,47.9
8595,26.6
8600,26.6
8605,35.5
8610,35.5
8615,59
8620,59
8625,47.1
8630,65.4
8635,65.4
8640,65.4
8645,34.1
8650,34.1
8655,34.1
8660,28.9
8665,28.9
8670,24.6
8675,24.6
8680,24.6
8685,29.5
8690,29.5
8695,24.6
8700,44
8705,52.4
8710,52.4
8715,52.4
8720,46.4
8725,46.4
8730,31.8
8735,31.8
8740,24.2
8745,24.2
8750,24.2
8755,61.9
8760,61.9
8765,32.4
8770,58.7
8775,58.7
8780,47.5
8785,47.5
8790,47.5
8795,35.2
8800,47.1
8805,47.1
8810,37.8
8815,37.8
8820,56
8825,56
8830,29.6
8835,52.8
8840,52.8
8845,27.9
8850,27.9
8855,15.6
8860,15.6
8865,60.3
8870,60.3
8875,60.3
8880,49.1
8885,49.1
8890,40.4
8895,40.4
8900,40.4
8905,72.2
8910,72.2
8915,35.5
8920,35.5
8925,18.2
8930,18.2
8935,18.2
8940,17.8
8945,30.4
8950,30.4
8955,49.9
8960,49.9
8965,40.6
8970,40.6
8975,40.6
8980,18.3
8985,22.7
8990,22.7
8995,47.2
9000,47.2
9005,47.2
9010,24.6
9015,24.6
9020,16.4
9025,28.7
9030,28.7
9035,28.7
9040,20.7
9045,20.7
9050,41.1
9055,41.1
9060,41.1
9065,22.5
9070,22.5
9075,17.2
9080,17.2
9085,18.1
9090,18.1
9095,15.4
9100,29.7
9105,29.7
9110,19.5
9115,19.5
9120,19.5
9125,16.4
9130,86.6
9135,86.6
9140,86.6
9145,74.6
9150,74.6
9155,58.1
9160,66.1
9165,66.1
9170,53.7
9175,53.7
9180,53.7
9185,41
9190,45.6
9195,45.6
9200,41
9205,22.8
9210,22.8
9215,40.7
9220,40.7
9225,40.7
9230,37.7
9235,37.7
9240,32.8
9245,44.2
9250,44.2
9255,34.8
9260,34.8
9265,34.8
9270,24
9275,36.6
9280,55.1
9285,55.1
9290,55.1
9295,30.6
9300,30.6
9305,18.1
9310,18.1
9315,18
9320,18
9325,18
9330,16.8
9335,26.8
9340,26.8
9345,19.3
9350,19.3
9355,16.8
9360,16.8
9365,18.7
9370,18.7
9375,17.8
9380,17.8
9385,17.8
9390,16.2
9395,16.2
9400,16.2
9405,16.2
9410,16.2
9415,16.8
9420,16.8
9425,16
9430,16
9435,16
9440,21.1
9445,21.1
9450,16.8
9455,17.8
9460,17.8
9465,14.9
9470,16.1
9475,16.1
9480,22.6
9485,22.6
9490,22.6
9495,17.8
9500,17.8
9505,16.3
9510,16.3
9515,54.7
9520,54.7
9525,29.1
9530,29.1
9535,18.4
9540,18.4
9545,18.4
9550,17.8
9555,17.8
9560,16.8
9565,36.5
9570,36.5
9575,22.1
9580,22.1
9585,22.1
9590,21.9
9595,21.9
9600,21.6
9605,22.7
9610,22.7
9615,100.5
9620,100.5
9625,100.5
9630,47.8
9635,47.8
9640,53
9645,53
9650,53
9655,37.1
9660,37.1
9665,20.9
9670,20.9
9675,20.9
9680,20
9685,52
9690,52
9695,52
9700,37.6
9705,37.6
9710,22.2
9715,27.9
9720,27.9
9725,18.9
9730,18.9
9735,34.1
9740,34.1
9745,30.3
9750,30.3
9755,30.3
9760,29.1
9765,29.1
9770,23.3
9775,23.3
9780,37.3
9785,65.9
9790,73.9
9795,75.1
9800,75.1
9805,60.8
9810,60.8
9815,111.4
9820,111.4
9825,57.1
9830,97.7
9835,97.7
9840,97.7
9845,85
9850,92.5
9855,92.5
9860,107.4
9865,107.4
9870,99
9875,99
9880,99
9885,92.6
9890,92.6
9895,95.2
9900,102.4
9905,111.2
9910,111.2
9915,108.8
9920,110.7
9925,117.1
9930,117.1
9935,96
9940,96
9945,110.5
9950,129.6
9955,129.6
9960,129.6
9965,109
9970,109
9975,108.3
9980,109.8
9985,128.5
9990,128.5
9995,128.5
10000,125.4
10005,125.4
10010,98.3
10015,98.3
10020,94.1
10025,94.1
10030,94.1
10035,103.1
10040,103.1
10045,103.1
10050,122.5
10055,170.4
10060,170.4
10065,106
10070,106
10075,125.7
10080,125.7
10085,114.2
10090,114.2
10095,120
10100,120
10105,100.8
10110,100.8
10115,115.2
10120,115.2
10125,140
10130,140
10135,100
10140,120.2
10145,129
10150,129
10155,109.1
10160,109.1
10165,124.3
10170,124.3
10175,117
10180,117
10185,117
10190,120.8
10195,142.3
10200,142.3
10205,106.9
10210,106.9
10215,107.4
10220,107.4
10225,131.5
10230,131.5
10235,112.2
10240,112.2
10245,112.2
10250,102.7
10255,102.7
10260,115.8
10265,115.8
10270,115.8
10275,105.6
10280,105.6
10285,103.2
10290,103.2
10295,105.1
10300,105.1
10305,91.2
10310,115.6
10315,115.6
10320,122.4
10325,147
10330,147
10335,147
10340,95.5
10345,96.6
10350,103.1
10355,103.1
10360,85.4
10365,103.2
10370,116.8
10375,116.8
10380,132.7
10385,132.7
10390,132.7
